,Total Active & Inactive,Active,,,,,,,,,,Inactive,,,,,,,,,
,,Asian,American Indian,Black,Federally-Registered (may be of any race),Hispanic,Korean,White,Other,Not Identified,Total Active,Asian,American Indian,Black,Federally-Registered (may be of any race),Hispanic,Korean,White,Other,Not Identified,Total Inactive
TOTAL," 3,342,637 "," 19,202 "," 11,852 "," 846,651 "," 2,397 "," 27,187 ", 47 ," 2,266,709 "," 31,848 "," 9,024 "," 3,214,917 ", 832 , 689 ," 44,717 ", 55 ," 1,475 ", 6 ," 76,969 "," 2,747 ", 230 ," 127,720 "
AUTAUGA," 38,427 ", 235 , 115 ," 7,035 ",, 270 ,," 29,100 ", 401 , 195 ," 37,351 ", 9 , 6 , 226 ,, 9 ,, 793 , 28 , 5 ," 1,076 "
BALDWIN," 147,739 ", 522 , 774 ," 10,430 ", 2 ," 1,381 ", 1 ," 122,272 "," 1,399 ", 264 ," 137,045 ", 36 , 76 , 919 ,, 108 ,," 9,352 ", 199 , 4 ," 10,694 "
BARBOUR," 17,154 ", 44 , 31 ," 7,620 ",, 74 ,," 8,538 ", 61 , 23 ," 16,391 ", 2 , 2 , 396 ,, 4 ,, 354 , 5 ,, 763 
BIBB," 13,609 ", 9 , 30 ," 2,431 ", 1 , 29 ,," 10,705 ", 46 , 4 ," 13,255 ", 2 , 1 , 107 ,, 1 ,, 240 , 3 ,, 354 
BLOUNT," 37,855 ", 67 , 126 , 474 , 2 , 672 , 1 ," 35,576 ", 243 , 40 ," 37,201 ", 5 , 3 , 16 ,, 15 ,, 609 , 6 ,, 654 
BULLOCK," 7,428 ", 17 , 9 ," 5,464 ",, 11 ,," 1,723 ", 16 , 5 ," 7,245 ",,, 152 ,,,, 31 ,,, 183 
BUTLER," 13,822 ", 26 , 22 ," 5,584 ",, 38 ,," 7,402 ", 48 , 8 ," 13,128 ", 1 , 1 , 338 ,, 2 ,, 345 , 6 , 1 , 694 
CALHOUN," 74,750 ", 386 , 223 ," 14,993 ", 2 , 663 ,," 56,017 ", 754 , 327 ," 73,365 ", 10 , 15 , 423 ,, 28 ,, 869 , 36 , 4 ," 1,385 "
CHAMBERS," 24,076 ", 78 , 32 ," 9,087 ",, 48 , 1 ," 13,644 ", 123 , 93 ," 23,106 ", 6 ,, 478 ,, 4 ,, 462 , 16 , 4 , 970 
CHEROKEE," 17,056 ", 18 , 47 , 783 ,, 45 ,," 15,822 ", 27 , 13 ," 16,755 ", 2 , 3 , 21 ,, 3 ,, 272 ,,, 301 
CHILTON," 28,622 ", 46 , 41 ," 3,012 ", 4 , 235 , 1 ," 24,309 ", 168 , 62 ," 27,878 ", 1 , 3 , 89 , 1 , 6 ,, 638 , 5 , 1 , 744 
CHOCTAW," 10,983 ", 10 , 5 ," 4,388 ", 1 , 4 ,," 5,520 ", 11 , 8 ," 9,947 ", 1 , 2 , 524 ,,,, 508 , 1 ,," 1,036 "
CLARKE," 19,387 ", 39 , 41 ," 8,318 ", 1 , 44 ,," 10,376 ", 59 , 29 ," 18,907 ", 2 , 1 , 222 ,, 2 ,, 245 , 6 , 2 , 480 
CLAY," 10,203 ", 19 , 27 ," 1,437 ",, 67 ,," 7,979 ", 39 , 9 ," 9,577 ", 2 , 1 , 155 ,, 8 ,, 456 , 3 , 1 , 626 
CLEBURNE," 10,859 ", 11 , 14 , 369 ,, 31 ,," 9,565 ", 12 , 10 ," 10,012 ",,, 39 ,, 3 ,, 804 , 1 ,, 847 
COFFEE," 33,660 ", 196 , 151 ," 5,387 ",, 691 , 2 ," 24,810 ", 818 , 157 ," 32,212 ", 8 , 2 , 292 ,, 39 ,," 1,030 ", 74 , 3 ," 1,448 "
COLBERT," 38,416 ", 105 , 112 ," 6,232 ",, 188 , 2 ," 30,291 ", 583 , 77 ," 37,590 ", 5 , 3 , 160 ,, 7 ,, 629 , 21 , 1 , 826 
CONECUH," 10,490 ", 36 , 25 ," 4,629 ", 1 , 22 , 1 ," 5,452 ", 54 , 17 ," 10,237 ", 2 ,, 144 ,, 3 ,, 103 ,, 1 , 253 
COOSA," 8,137 ", 8 , 34 ," 2,547 ",, 8 ,," 5,273 ", 27 , 8 ," 7,905 ", 1 ,, 79 ,, 1 ,, 147 , 4 ,, 232 
COVINGTON," 25,451 ", 68 , 81 ," 3,009 ",, 91 ,," 21,719 ", 129 , 37 ," 25,134 ", 3 , 1 , 60 ,, 5 ,, 246 , 2 ,, 317 
CRENSHAW," 9,969 ", 20 , 38 ," 2,393 ",, 33 ,," 7,256 ", 34 , 9 ," 9,783 ", 1 , 1 , 65 ,, 2 ,, 116 , 1 ,, 186 
CULLMAN," 55,876 ", 154 , 128 , 481 , 6 , 326 ,," 52,690 ", 184 , 66 ," 54,035 ", 11 , 6 , 44 , 1 , 19 ,," 1,744 ", 15 , 1 ," 1,841 "
DALE," 31,576 ", 156 , 116 ," 6,174 ", 1 , 512 , 1 ," 23,076 ", 695 , 67 ," 30,798 ", 11 , 4 , 180 ,, 22 , 1 , 522 , 38 ,, 778 
DALLAS," 32,528 ", 102 , 21 ," 21,426 ",, 41 ,," 9,096 ", 133 , 30 ," 30,849 ", 3 , 2 ," 1,158 ",, 9 ,, 489 , 17 , 1 ," 1,679 "
DEKALB," 41,042 ", 75 , 381 , 664 , 1 , 791 ,," 36,876 ", 283 , 58 ," 39,129 ",, 10 , 87 , 1 , 36 ,," 1,763 ", 15 , 1 ," 1,913 "
ELMORE," 54,013 ", 214 , 193 ," 9,692 ", 2 , 350 ,," 42,087 ", 388 , 201 ," 53,127 ", 3 , 8 , 207 ,, 12 ,, 637 , 17 , 2 , 886 
ESCAMBIA," 24,473 ", 60 , 598 ," 6,921 ",, 95 ,," 15,847 ", 157 , 27 ," 23,705 ", 5 , 21 , 244 ,, 8 ,, 475 , 15 ,, 768 
ETOWAH," 69,388 ", 281 , 165 ," 10,024 ",, 467 ,," 55,659 ", 276 , 177 ," 67,049 ", 8 , 20 , 706 ,, 19 ,," 1,557 ", 25 , 4 ," 2,339 "
FAYETTE," 12,152 ", 14 , 12 ," 1,425 ",, 35 ,," 10,416 ", 65 , 19 ," 11,986 ",,, 30 ,, 2 ,, 131 , 3 ,, 166 
FRANKLIN," 19,026 ", 14 , 50 , 753 , 7 , 492 ,," 17,001 ", 65 , 47 ," 18,429 ",,, 32 ,, 11 ,, 544 , 7 , 3 , 597 
GENEVA," 17,971 ", 24 , 131 ," 1,654 ",, 156 ,," 15,506 ", 67 , 9 ," 17,547 ", 1 , 4 , 46 ,, 10 ,, 362 , 1 ,, 424 
GREENE," 7,321 ", 3 , 6 ," 5,956 ",, 11 ,," 1,223 ", 15 , 16 ," 7,230 ",,, 78 ,, 1 ,, 12 ,,, 91 
HALE," 12,450 ", 18 , 22 ," 7,265 ",, 15 , 1 ," 4,850 ", 45 , 9 ," 12,225 ",, 1 , 145 ,, 3 , 1 , 71 , 3 , 1 , 225 
HENRY," 12,821 ", 18 , 27 ," 3,619 ",, 64 ,," 8,658 ", 50 , 11 ," 12,447 ", 1 , 1 , 160 ,, 4 ,, 203 , 5 ,, 374 
HOUSTON," 70,026 ", 340 , 200 ," 16,198 ", 4 , 613 , 1 ," 49,158 ", 474 , 268 ," 67,256 ", 14 , 7 ," 1,075 ", 1 , 33 ,," 1,605 ", 29 , 6 ," 2,770 "
JACKSON," 37,099 ", 98 , 495 ," 1,278 ", 1 , 208 ,," 34,099 ", 70 , 64 ," 36,313 ", 2 , 9 , 35 ,, 7 ,, 730 , 3 ,, 786 
JEFFERSON," 458,336 "," 3,452 ", 676 ," 184,617 "," 2,309 "," 3,244 ", 2 ," 251,171 "," 4,349 "," 1,065 "," 450,885 ", 76 , 19 ," 3,891 ", 48 , 80 ,," 3,169 ", 162 , 6 ," 7,451 "
LAMAR," 10,919 ", 2 , 9 ," 1,236 ",, 32 ,," 9,407 ", 19 , 13 ," 10,718 ",, 1 , 37 ,, 1 ,, 162 ,,, 201 
LAUDERDALE," 60,633 ", 195 , 158 ," 5,901 ", 1 , 385 ,," 52,650 ", 349 , 171 ," 59,810 ", 4 , 6 , 109 ,, 13 ,, 678 , 11 , 2 , 823 
LAWRENCE," 23,601 ", 26 , 888 ," 3,024 ",, 91 ,," 18,772 ", 338 , 33 ," 23,172 ",, 18 , 51 ,, 3 ,, 349 , 8 ,, 429 
LEE," 103,624 "," 1,154 ", 241 ," 23,262 ", 5 ," 1,243 ", 16 ," 72,245 "," 1,913 ", 701 ," 100,780 ", 42 , 4 , 703 ,, 66 , 1 ," 1,911 ", 103 , 14 ," 2,844 "
LIMESTONE," 58,591 ", 406 , 229 ," 6,942 ", 1 , 765 , 5 ," 47,510 ", 643 , 242 ," 56,743 ", 15 , 14 , 186 ,, 17 ,," 1,544 ", 71 , 1 ," 1,848 "
LOWNDES," 10,459 ", 16 , 8 ," 7,426 ",, 12 ,," 2,424 ", 28 , 8 ," 9,922 ", 1 , 1 , 435 ,, 4 ,, 96 ,,, 537 
