Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,01,Jefferson,01000900,UNITED STATES SENATOR,001,Doug Jones,149522,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,01,Jefferson,01000900,UNITED STATES SENATOR,002,Roy S. Moore,66309,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,01,Jefferson,01000900,UNITED STATES SENATOR,003,Write-In,3710,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,02,Mobile,01000900,UNITED STATES SENATOR,001,Doug Jones,62253,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,02,Mobile,01000900,UNITED STATES SENATOR,002,Roy S. Moore,46725,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,02,Mobile,01000900,UNITED STATES SENATOR,003,Write-In,1539,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,03,Montgomery,01000900,UNITED STATES SENATOR,001,Doug Jones,48186,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,03,Montgomery,01000900,UNITED STATES SENATOR,002,Roy S. Moore,17705,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,03,Montgomery,01000900,UNITED STATES SENATOR,003,Write-In,743,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,04,Autauga,01000900,UNITED STATES SENATOR,001,Doug Jones,5606,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,04,Autauga,01000900,UNITED STATES SENATOR,002,Roy S. Moore,8752,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,04,Autauga,01000900,UNITED STATES SENATOR,003,Write-In,253,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,05,Baldwin,01000900,UNITED STATES SENATOR,001,Doug Jones,22131,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,05,Baldwin,01000900,UNITED STATES SENATOR,002,Roy S. Moore,38445,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,05,Baldwin,01000900,UNITED STATES SENATOR,003,Write-In,1699,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,05,Baldwin,05010200,ONE- MILL SCHOOL TAX,001,For   Proposed Taxation,37649,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,05,Baldwin,05010200,ONE- MILL SCHOOL TAX,002,Against  Proposed Taxation,22957,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,06,Barbour,01000900,UNITED STATES SENATOR,001,Doug Jones,3680,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,06,Barbour,01000900,UNITED STATES SENATOR,002,Roy S. Moore,2699,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,06,Barbour,01000900,UNITED STATES SENATOR,003,Write-In,41,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,07,Bibb,01000900,UNITED STATES SENATOR,001,Doug Jones,1567,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,07,Bibb,01000900,UNITED STATES SENATOR,002,Roy S. Moore,3599,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,07,Bibb,01000900,UNITED STATES SENATOR,003,Write-In,66,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,08,Blount,01000900,UNITED STATES SENATOR,001,Doug Jones,2405,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,08,Blount,01000900,UNITED STATES SENATOR,002,Roy S. Moore,11621,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,08,Blount,01000900,UNITED STATES SENATOR,003,Write-In,180,NON
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,09,Bullock,01000900,UNITED STATES SENATOR,001,Doug Jones,2712,DEM
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,09,Bullock,01000900,UNITED STATES SENATOR,002,Roy S. Moore,656,REP
1000915,U.S. SENATE SPECIAL GENERAL ELECTION 2017,09,Bullock,01000900,UNITED STATES SENATOR,003,Write-In,7,NON
